<|showerthought|>If you go to the gym and you’re not doing well, you’re not doing well<|endoftext|> 
<|showerthought|>When you are a kid, you are scared of the dark and you don't know what it's like to be in the dark. But once you get older, you realize that you are in the dark, and it's terrifying.<|endoftext|> 
<|showerthought|>You can’t really tell how good someone is at a sport if they’re a good athlete.<|endoftext|> 
<|showerthought|>The reason why the average person has more than 1 arm is because of the way the human body is built, and the fact that it is designed to have more arms than the body can handle<|endoftext|> 
<|showerthought|>It’s not a bad idea for a woman to have a boyfriend/girlfriend who has a fetish of her own. If she’s attracted to men, then she’s a fetishist. If she’s attracted to a man, she’s a masochist.<|endoftext|> 
<|showerthought|>The fact that the average human is only 1.8 inches tall is probably the biggest reason why we are not as intelligent as we think we are.<|endoftext|> 
<|showerthought|>It's impossible to have a good relationship with your parents, but it's impossible to have a bad relationship with your siblings.<|endoftext|> 
<|showerthought|>The way to make the world a better place is to make the world a better place.<|endoftext|> 
<|showerthought|>When you go to sleep, you’re just taking a shit<|endoftext|> 
<|showerthought|>The older you get, the less you care about the present and more about the future. The younger you get, the more you want to live in the past and the more you want to die in the future.<|endoftext|> 
<|showerthought|>Most kids who have never seen the word "bisexual" are probably bisexual<|endoftext|> 
<|showerthought|>If you’re a man and you have sex with a woman, it’s technically a threesome<|endoftext|> 
<|showerthought|>Some people who have a bad reputation for being a jerk, have probably been jerks before.<|endoftext|> 
<|showerthought|>In the Star Wars universe, there is a possibility that the Death Star is a space station.<|endoftext|> 
<|showerthought|>In every other language, the word "babysitters" would sound more insulting.<|endoftext|> 
<|showerthought|>If your phone is in a drawer, you’re probably not going to be able to see it.<|endoftext|> 
<|showerthought|>You can never truly know what you’ve never seen before.<|endoftext|> 
<|showerthought|>The most interesting thing about the movie "The Matrix" is that it's a story of a group of people trying to escape from the Matrix, but it's also a movie about the Matrix trying to escape from itself.<|endoftext|> 
<|showerthought|>People that have never had a pet are the most likely to have a pet with a different species<|endoftext|> 
<|showerthought|>All of the things that we do in our dreams could be a part of a plot to kill us<|endoftext|> 
<|showerthought|>You're most likely to see someone in a bikini in a public place than in the nude<|endoftext|> 
<|showerthought|>There is a good chance you have been in the same room as someone you have met before and you don't even know it<|endoftext|> 
<|showerthought|>The more people you meet, the less likely you will be able to tell who you are<|endoftext|> 
<|showerthought|>Every song you listen to is a remix, but not all remixes are original.<|endoftext|> 
<|showerthought|>If you've never had sex, then you've probably never had an orgasm.<|endoftext|> 
<|showerthought|>When we start using a new technology like the internet, we’ll probably be using a lot less old technology.<|endoftext|> 
<|showerthought|>A lot of people are probably really good at something they don’t really want to be good at<|endoftext|> 
<|showerthought|>We are all just the first generation in history to have a smartphone<|endoftext|> 
<|showerthought|>If a guy gets a boner, it’s a dick move, but if a girl gets a boner, it’s a pussy move.<|endoftext|> 
<|showerthought|>You probably see more naked people in public than you do.<|endoftext|> 
<|showerthought|>If you are in a car and the passenger seat is facing forward and you’re driving at 60 mph, you’re technically traveling at 70 mph.<|endoftext|> 
<|showerthought|>Every person that has ever lived will be the last person to ever exist.<|endoftext|> 
<|showerthought|>Your stomach remembers what it’s like to eat food but not what it’s like to not eat food.<|endoftext|> 
<|showerthought|>Somewhere in the universe, there is a person that has the most number of tattoos<|endoftext|> 
<|showerthought|>There must be at least one person in the world who has never seen a single picture of themselves.<|endoftext|> 
<|showerthought|>If someone were to die in a car crash, they'd probably be the last person to see it happen<|endoftext|> 
<|showerthought|>If you’re a woman, you’re a motherfucker<|endoftext|> 
<|showerthought|>In movies when a character is being chased by a dog, they are actually chasing a human<|endoftext|> 
<|showerthought|>There are probably more people who have seen a UFO than have seen the moon in their lifetime.<|endoftext|> 
<|showerthought|>If you ever feel like you're getting old, just remember that the older you are, the more you get to enjoy the younger you become, and vice versa<|endoftext|> 
<|showerthought|>If you can't find a way to make your life easier, you're probably a terrible liar.<|endoftext|> 
<|showerthought|>If you are a woman who has never been circumcised, you are technically circumcised twice.<|endoftext|> 
<|showerthought|>It's funny how the most common way to die is by falling into a lake or a river.<|endoftext|> 
<|showerthought|>The first human to ever walk on the moon was probably a virgin<|endoftext|> 
<|showerthought|>The reason the word "cringe" has such a negative connotation is because of all the cringe videos that have been made about it.<|endoftext|> 
<|showerthought|>It’s a good thing that the word ‘dirt’ is a plural.<|endoftext|> 
<|showerthought|>Most people don't know what the word ‘cringe’ is.<|endoftext|> 
<|showerthought|>We never see a person who's been in an elevator with someone who's been in an elevator with someone.<|endoftext|> 
<|showerthought|>A man has probably never seen his wife's face without a mirror.<|endoftext|> 
<|showerthought|>No matter how good you are, you will always be a failure at everything<|endoftext|> 
<|showerthought|>The only thing we know for certain is that we are all immortal, we just don’t know what happens after we die.<|endoftext|> 
<|showerthought|>All the things that we do in our lives, we’ve probably done in the past.<|endoftext|> 
<|showerthought|>We’ve all probably been in a dream where someone is wearing the clothes we’ve been wearing.<|endoftext|> 
